itime,date,time,devid,vd,type,subtype,action,agent,analyticscksum,analyticssubmit,app,appcat,appid,applist,apprisk,cat,catdesc,countapp,countav,countdlp,countweb,craction,crlevel,crscore,devname,devtype,direction,dstcountry,dstdevtype,dstintf,dstintfrole,dstip,dstmac,dstosname,,dstport,dstserver,dtime,dtype,duration,epoch,eventid,eventtype,fctuid,filename,filesize,filetype,filtercat,filteridx,filtertype,,hostname,incidentserialno,lanin,lanout,level,logid,logtime,logver,masterdstmac,mastersrcmac,method,msg,osname,osversion,policyid,policytype,poluuid,profile,proto,rcvdbyte,rcvdpkt,,reqtype,scertcname,,sentbyte,sentpkt,service,sessionid,severity,srccountry,srcintf,srcintfrole,srcip,srcmac,srcname,srcport,srcserver,,,trandisp,transip,transport,unauthuser,unauthusersource,url,utmaction,virus,wanin,wanout
1506204644,2017-09-23,15:10:44,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""SSL_TLSv1.2""","""Network.Service""",41540,"""default""","""medium""",,,,,,,,,,2ndFloor-FW,,,,,"""lan""","""lan""",192.168.100.74,,,,514,,1506179444,,,,,"""app-ctrl-all""","""F72831409FE54C63A32FA90D2507BD3B""",,,,,,,,"""FSA1KD3A15000241""",702499687,,,"""information""","""1059028704""",1506204644,56,,,,"""Network.Service: SSL_TLSv1.2,""",,,3,,,,6,,,,,"""FSA1KD3A15000241""",,,,"""RSH""",42227925,,,"""wan2""","""lan""",172.27.2.204,,,59712,,,,,,,"""Administrator""","""forticlient""","""/""",,,,
1506204644,2017-09-23,15:10:44,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""SSL""","""Network.Service""",15895,"""default""","""elevated""",,,,,,,,,,2ndFloor-FW,,,,,"""wan2""","""lan""",208.91.113.211,,,,514,,1506179444,,,,,"""app-ctrl-all""",,,,,,,,,"""forticloudcontroller""",2081635099,,,"""information""","""1059028704""",1506204644,56,,,,"""Network.Service: SSL,""",,,7,,,,6,,,,,"""forticloudcontroller""",,,,"""RSH""",42227930,,,"""FOS-GUI-QA-VLAN""","""lan""",172.27.5.62,,,16639,,,,,,,,,"""/""",,,,
1506204644,2017-09-23,15:10:44,FG240D4614801539,root,"""utm""","""app-ctrl""","""pass""",,,,"""Fortinet.Service""","""Business""",43273,"""default""","""low""",,,,,,,,,,2ndFloor-FW,,,,,"""FOS-GUI-QA-VLAN""","""lan""",208.91.113.211,,,,514,,1506179444,,,,,"""app-ctrl-all""",,,,,,,,,"""forticloudcontroller""",2081635105,,,"""information""","""1059028704""",1506204644,56,,,,"""Business: Fortinet.Service,""",,,7,,,,6,,,,,"""forticloudcontroller""",,,,"""RSH""",42227930,,,"""wan2""","""lan""",172.27.5.62,,,16639,,,,,,,,,"""/""",,,,
1506204645,2017-09-23,15:10:44,FG240D4614801539,root,"""traffic""","""forward""","""accept""",,,,,"""unscanned""",,,,,,,,,,,,,2ndFloor-FW,"""Windows PC""",,"""Reserved""","""Router/NAT Device""","""wan2""","""lan""",10.10.10.10,"""08:5b:0e:02:9e:3a""",,,8002,0,1506179444,,180,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204644,56,"""08:5b:0e:02:9e:3a""","""52:54:00:a6:e0:b4""",,,"""Windows 7 / 2008 R2""",,9,"""policy""","""3a5730e0-5f34-51e6-57e6-6a3b9ecdd126""",,17,0,0,,,,,94,1,"""udp/8002""",42226229,,"""Reserved""","""FOS-GUI-DEV""","""lan""",172.27.4.23,"""52:54:00:a6:e0:b4""","""WIN-CQ9EI8SJ59G.mydomain01.net""",50484,1,,,"""noop""",,,,,,,,,
1506204645,2017-09-23,15:10:44,FG240D4614801539,root,"""traffic""","""forward""","""client-rst""",,,,"""SSL_TLSv1.2""","""Network.Service""",41540,"""default""","""medium""",,,2,,,,,,,2ndFloor-FW,"""Fortinet Device""",,"""Reserved""","""Router/NAT Device""","""wan2""","""lan""",192.168.100.74,"""08:5b:0e:02:9e:3a""",,,514,0,1506179444,,9,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204644,56,"""08:5b:0e:02:9e:3a""","""08:5b:0e:db:3b:28""",,,"""FortiOS""",,2,"""policy""","""09572260-9497-51e5-3ec2-6193633ee437""",,6,3683,,,,,,3182,10,"""RSH""",42227870,,"""Reserved""","""VideoTools""","""lan""",172.27.1.101,"""08:5b:0e:db:3b:28""","""FGT60D4615027771""",8086,0,,,"""noop""",,,"""omiroshensky""","""kerberos""",,"""allow""",,,
1506204645,2017-09-23,15:10:44,FG240D4614801539,root,"""traffic""","""forward""","""client-rst""",,,,"""SSL_TLSv1.2""","""Network.Service""",41540,"""default""","""medium""",,,2,,,,,,,2ndFloor-FW,"""Windows PC""",,"""Reserved""","""Router/NAT Device""","""wan2""","""lan""",192.168.100.74,"""08:5b:0e:02:9e:3a""",,,514,0,1506179444,,9,,,,"""6B94CF2D0B8D4F01ADE4CCBD8CCFF860""",,,,,,,,,,,,"""notice""","""0000000013""",1506204644,56,"""08:5b:0e:02:9e:3a""","""00:15:5d:3d:d4:08""",,,"""Windows""","""Server""",3,"""policy""","""2a8cdb82-9497-51e5-9213-034a01690fc6""",,6,3683,,,,,,3182,10,"""RSH""",42227871,,"""Reserved""","""lan""","""lan""",172.27.2.207,"""00:15:5d:3d:d4:08""","""WIN-D0SI1IHVOLL""",60228,0,,,"""noop""",,,"""Administrator""","""forticlient""",,"""allow""",,,
1506204645,2017-09-23,15:10:44,FG240D4614801539,root,"""traffic""","""forward""","""accept""",,,,,"""unscanned""",,,,,,,,,,,,,2ndFloor-FW,"""Fortinet Device""",,"""United States""","""Router/NAT Device""","""wan2""","""lan""",8.8.8.8,"""08:5b:0e:02:9e:3a""",,,,0,1506179444,,60,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204644,56,"""08:5b:0e:02:9e:3a""","""08:5b:0e:ea:96:d3""",,,"""FortiOS""",,9,"""policy""","""3a5730e0-5f34-51e6-57e6-6a3b9ecdd126""",,1,84,1,,,,,84,1,"""PING""",42227414,,"""Reserved""","""FOS-GUI-DEV""","""lan""",172.27.4.150,"""08:5b:0e:ea:96:d3""","""FORTIMBP""",,0,,,"""noop""",,,"""sjohnson""","""smb""",,,,,
1506204645,2017-09-23,15:10:44,FG240D4614801539,root,"""traffic""","""forward""","""timeout""",,,,,"""unknown""",,"""default""",,,,,,,,262144,"""low""",5,2ndFloor-FW,"""Router/NAT Device""",,"""Canada""","""Router/NAT Device""","""wan2""","""lan""",208.91.113.217,"""08:5b:0e:02:9e:3a""",,,541,0,1506179444,,10,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204644,56,"""08:5b:0e:02:9e:3a""","""90:6c:ac:4d:e7:de""",,,,,7,"""policy""","""1e0f1e62-5dc1-51e6-9655-f89b296ad7d9""",,6,0,0,,,,,60,1,"""tcp/541""",42227861,,"""Reserved""","""FOS-GUI-QA-VLAN""","""lan""",172.27.5.62,"""90:6c:ac:4d:e7:de""",,12639,0,,,"""noop""",,,,,,,,,
1506204645,2017-09-23,15:10:44,FG240D4614801539,root,"""traffic""","""forward""","""timeout""",,,,,"""unscanned""",,,,,,,,,,262144,"""low""",5,2ndFloor-FW,"""Fortinet Device""",,"""Reserved""","""Router/NAT Device""","""wan2""","""lan""",172.16.116.245,"""08:5b:0e:02:9e:3a""",,,514,0,1506179444,,25,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204644,56,"""08:5b:0e:02:9e:3a""","""00:09:0f:b0:f1:12""",,,"""FortiOS""",,9,"""policy""","""3a5730e0-5f34-51e6-57e6-6a3b9ecdd126""",,6,0,0,,,,,300,5,"""RSH""",42227738,,"""Reserved""","""FOS-GUI-DEV""","""lan""",172.27.4.30,"""00:09:0f:b0:f1:12""",,1274,0,,,"""noop""",,,,,,,,,
1506204645,2017-09-23,15:10:44,FG240D4614801539,root,"""traffic""","""forward""","""timeout""",,,,,"""unscanned""",,,,,,,,,,262144,"""low""",5,2ndFloor-FW,"""Fortinet Device""",,"""Reserved""","""Router/NAT Device""","""wan2""","""lan""",172.16.116.245,"""08:5b:0e:02:9e:3a""",,,514,0,1506179444,,25,,,,,,,,,,,,,,,,"""notice""","""0000000013""",1506204644,56,"""08:5b:0e:02:9e:3a""","""52:54:00:c7:f5:56""",,,"""FortiOS""",,9,"""policy""","""3a5730e0-5f34-51e6-57e6-6a3b9ecdd126""",,6,0,0,,,,,300,5,"""RSH""",42227739,,"""Reserved""","""FOS-GUI-DEV""","""lan""",172.27.4.33,"""52:54:00:c7:f5:56""",,5691,0,,,"""noop""",,,,,,,,,
